,Where they Clicked,Whey they Clicked,Help Source,Successfully Helped,Mentor Requested,Mentor Responded,Mentor
45,Marketing,Registration Help,Community Hub,1,1,0,Not Requested
46,Marketing,other,Mentor,1,1,0,Not Requested
47,Discounts,Adding Promo Code,Community Hub,0,0,0,Not Requested
48,Customers,Adding Promo Code,Mentor,0,0,0,Not Requested
49,Analytics,other,Community Hub,1,1,0,Not Requested
50,Analytics,other,Mentor,0,1,1,Shaneel
51,Customers,Registration Help,Mentor,0,0,0,Not Requested
52,Orders,Registration Help,Mentor,0,0,0,Not Requested
53,Marketing,Registration Help,Help Link,1,0,0,Not Requested
54,Marketing,Adding Promo Code,Mentor,1,1,1,Maya
55,Products,Registration Help,Help Link,1,0,0,Not Requested
56,Home,Accessing Data,Mentor,0,0,0,Not Requested
57,Home,other,Mentor,1,1,0,Not Requested
58,Home,other,Community Hub,1,0,0,Not Requested
59,Apps,other,Mentor,1,1,0,Not Requested
60,Apps,Accessing Data,Help Link,1,1,1,Yik
61,Apps,App Functionality,Help Link,0,0,0,Not Requested
62,Marketing,Accessing Data,Mentor,1,0,0,Not Requested
63,Analytics,App Functionality,Help Link,1,0,0,Not Requested
64,Marketing,Accessing Data,Community Hub,0,1,1,Shaneel
65,Apps,other,Community Hub,1,0,0,Not Requested
66,Apps,App Functionality,Community Hub,1,0,0,Not Requested
67,Apps,other,Community Hub,1,1,0,Not Requested
68,Analytics,Accessing Data,Mentor,1,1,0,Not Requested
69,Marketing,Adding Promo Code,Community Hub,1,0,0,Not Requested
70,Orders,Accessing Data,Help Link,1,0,0,Not Requested
71,Discounts,Adding Promo Code,Mentor,0,1,1,Ben
72,Apps,other,Mentor,1,1,1,Chantal
73,Home,other,Community Hub,1,1,0,Not Requested
74,Apps,Registration Help,Mentor,0,0,0,Not Requested
75,Apps,App Functionality,Mentor,0,1,0,Not Requested
76,Home,Registration Help,Mentor,1,0,0,Not Requested
77,Customers,App Functionality,Mentor,1,0,0,Not Requested
78,Orders,App Functionality,Help Link,1,0,0,Not Requested
79,Customers,Registration Help,Community Hub,1,1,1,Fahd
80,Home,Registration Help,Help Link,1,0,0,Not Requested
81,Apps,Registration Help,Community Hub,0,0,0,Not Requested
82,Home,Adding Promo Code,Community Hub,1,0,0,Not Requested
83,Finances,other,Help Link,1,1,0,Not Requested
84,Home,App Functionality,Mentor,1,0,0,Not Requested
85,Finances,Accessing Data,Help Link,0,0,0,Not Requested
86,Apps,Accessing Data,Mentor,1,0,0,Not Requested
87,Analytics,App Functionality,Community Hub,0,1,0,Not Requested
88,Analytics,Accessing Data,Community Hub,1,0,0,Not Requested
89,Analytics,Registration Help,Help Link,1,1,1,Shaneel
90,Home,Registration Help,Community Hub,0,0,0,Not Requested
91,Finances,App Functionality,Community Hub,0,1,1,Fahd
92,Apps,Accessing Data,Community Hub,1,1,1,Fahd
93,Products,Registration Help,Community Hub,1,1,1,Maya
94,Marketing,Accessing Data,Mentor,1,1,1,Fahd
95,Marketing,other,Community Hub,0,1,1,Shaneel
96,Marketing,Registration Help,Community Hub,1,0,0,Not Requested
97,Customers,other,Mentor,1,0,0,Not Requested
98,Finances,Registration Help,Mentor,1,1,1,Ben
99,Orders,App Functionality,Community Hub,0,0,0,Not Requested
100,Home,Registration Help,Help Link,1,1,1,Maya
101,Apps,Registration Help,Mentor,1,1,1,Chantal
102,Marketing,App Functionality,Community Hub,1,0,0,Not Requested
103,Apps,other,Mentor,0,1,0,Not Requested
104,Analytics,App Functionality,Mentor,1,1,1,Ben
105,Orders,Accessing Data,Mentor,1,0,0,Not Requested
106,Home,Accessing Data,Mentor,1,1,1,Shaneel
107,Apps,Registration Help,Community Hub,0,0,0,Not Requested
108,Marketing,other,Mentor,1,1,0,Not Requested
109,Analytics,Accessing Data,Mentor,0,1,1,Fahd
110,Finances,Accessing Data,Mentor,1,0,0,Not Requested
111,Apps,other,Mentor,0,1,0,Not Requested
112,Analytics,other,Community Hub,1,0,0,Not Requested
113,Apps,other,Community Hub,1,1,0,Not Requested
114,Orders,other,Help Link,1,1,1,Yik
115,Orders,other,Community Hub,0,1,0,Not Requested
116,Analytics,Adding Promo Code,Help Link,0,1,0,Not Requested
117,Orders,Accessing Data,Help Link,0,1,0,Not Requested
118,Customers,Registration Help,Community Hub,1,0,0,Not Requested
119,Finances,Accessing Data,Community Hub,1,0,0,Not Requested
120,Analytics,Accessing Data,Mentor,1,0,0,Not Requested
121,Apps,Registration Help,Help Link,1,1,1,Yik
122,Orders,Registration Help,Community Hub,1,0,0,Not Requested
123,Apps,other,Mentor,1,0,0,Not Requested
124,Customers,Registration Help,Community Hub,1,0,0,Not Requested
125,Products,Registration Help,Community Hub,1,0,0,Not Requested
126,Analytics,Registration Help,Help Link,0,1,1,Chantal
127,Finances,Accessing Data,Mentor,1,0,0,Not Requested
128,Apps,Registration Help,Community Hub,0,0,0,Not Requested
129,Apps,Registration Help,Help Link,1,1,0,Not Requested
130,Finances,Registration Help,Mentor,1,0,0,Not Requested
131,Orders,App Functionality,Help Link,1,0,0,Not Requested
132,Apps,Registration Help,Community Hub,0,0,0,Not Requested
133,Analytics,other,Community Hub,1,1,0,Not Requested
134,Home,Accessing Data,Community Hub,1,1,0,Not Requested
135,Apps,Registration Help,Community Hub,1,0,0,Not Requested
136,Orders,Accessing Data,Mentor,1,0,0,Not Requested
137,Marketing,Registration Help,Community Hub,1,1,1,Fahd
138,Apps,other,Community Hub,1,0,0,Not Requested
139,Apps,Registration Help,Mentor,1,0,0,Not Requested
140,Finances,Adding Promo Code,Community Hub,0,0,0,Not Requested
141,Orders,Registration Help,Help Link,1,0,0,Not Requested
142,Orders,Registration Help,Mentor,1,1,1,Ben
143,Apps,other,Community Hub,1,0,0,Not Requested
144,Orders,Accessing Data,Mentor,1,1,1,Natanael
145,Finances,App Functionality,Community Hub,1,1,0,Not Requested
146,Apps,Adding Promo Code,Community Hub,1,0,0,Not Requested
147,Analytics,Registration Help,Help Link,0,1,0,Not Requested
148,Home,Adding Promo Code,Community Hub,1,1,1,Yik
149,Apps,Registration Help,Help Link,1,1,1,Natanael
150,Orders,Registration Help,Mentor,0,0,0,Not Requested
151,Products,Registration Help,Community Hub,0,1,1,Yik
152,Products,other,Mentor,0,0,0,Not Requested
153,Orders,Registration Help,Mentor,1,0,0,Not Requested
154,Marketing,Registration Help,Help Link,1,0,0,Not Requested
155,Analytics,Registration Help,Help Link,1,0,0,Not Requested
156,Apps,Accessing Data,Help Link,1,0,0,Not Requested
157,Home,Registration Help,Community Hub,1,0,0,Not Requested
158,Orders,Accessing Data,Community Hub,0,0,0,Not Requested
159,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
160,Analytics,Registration Help,Help Link,0,1,0,Not Requested
161,Analytics,other,Help Link,0,0,0,Not Requested
162,Marketing,App Functionality,Community Hub,1,1,1,Chantal
163,Marketing,App Functionality,Mentor,1,1,0,Not Requested
164,Orders,other,Community Hub,1,1,1,Maya
165,Finances,other,Community Hub,0,0,0,Not Requested
166,Finances,Accessing Data,Community Hub,1,1,0,Not Requested
167,Apps,Registration Help,Help Link,1,1,1,Chantal
168,Marketing,Registration Help,Help Link,0,1,0,Not Requested
169,Products,Registration Help,Help Link,1,1,1,Natanael
170,Analytics,other,Help Link,1,0,0,Not Requested
171,Orders,Adding Promo Code,Community Hub,0,0,0,Not Requested
172,Analytics,App Functionality,Help Link,1,1,1,Shaneel
173,Apps,Registration Help,Community Hub,1,1,1,Fahd
174,Marketing,Registration Help,Mentor,1,1,1,Maya
175,Marketing,Registration Help,Community Hub,1,0,0,Not Requested
176,Home,other,Help Link,1,1,0,Not Requested
177,Orders,other,Community Hub,0,1,0,Not Requested
178,Marketing,Registration Help,Community Hub,1,1,1,Fahd
179,Marketing,Registration Help,Community Hub,0,0,0,Not Requested
180,Apps,Accessing Data,Mentor,1,1,1,Shaneel
181,Orders,App Functionality,Help Link,1,0,0,Not Requested
182,Orders,Registration Help,Mentor,1,1,0,Not Requested
183,Apps,Registration Help,Community Hub,0,1,0,Not Requested
184,Customers,App Functionality,Community Hub,0,0,0,Not Requested
185,Home,Accessing Data,Community Hub,1,0,0,Not Requested
186,Analytics,Accessing Data,Help Link,1,0,0,Not Requested
187,Orders,other,Help Link,1,1,1,Natanael
188,Analytics,Registration Help,Mentor,0,0,0,Not Requested
189,Marketing,Accessing Data,Community Hub,1,0,0,Not Requested
190,Analytics,Registration Help,Community Hub,1,1,1,Shaneel
191,Apps,other,Mentor,0,1,0,Not Requested
192,Orders,Adding Promo Code,Mentor,1,0,0,Not Requested
193,Apps,Registration Help,Help Link,1,0,0,Not Requested
194,Analytics,Registration Help,Help Link,0,1,0,Not Requested
195,Apps,other,Community Hub,1,0,0,Not Requested
196,Apps,other,Community Hub,1,1,1,Natanael
197,Home,Accessing Data,Mentor,0,0,0,Not Requested
198,Apps,Registration Help,Mentor,0,1,0,Not Requested
199,Marketing,Accessing Data,Mentor,1,1,0,Not Requested
200,Products,Registration Help,Mentor,1,0,0,Not Requested
201,Apps,App Functionality,Mentor,0,1,1,Yik
202,Finances,Registration Help,Help Link,0,1,0,Not Requested
203,Marketing,Registration Help,Help Link,1,1,0,Not Requested
204,Orders,Registration Help,Help Link,0,0,0,Not Requested
205,Orders,other,Community Hub,1,0,0,Not Requested
206,Apps,App Functionality,Community Hub,1,0,0,Not Requested
207,Customers,other,Help Link,1,1,0,Not Requested
208,Orders,Accessing Data,Help Link,0,1,1,Maya
209,Products,App Functionality,Help Link,1,0,0,Not Requested
210,Home,Accessing Data,Community Hub,1,1,1,Ben
211,Apps,Registration Help,Mentor,1,1,1,Maya
212,Apps,App Functionality,Help Link,1,0,0,Not Requested
213,Analytics,other,Mentor,0,0,0,Not Requested
214,Orders,Registration Help,Mentor,0,1,0,Not Requested
215,Products,Accessing Data,Help Link,1,0,0,Not Requested
216,Apps,Adding Promo Code,Mentor,1,1,1,Fahd
217,Home,Registration Help,Mentor,1,0,0,Not Requested
218,Apps,Accessing Data,Mentor,1,0,0,Not Requested
219,Orders,Accessing Data,Community Hub,0,1,0,Not Requested
220,Apps,Accessing Data,Mentor,1,0,0,Not Requested
221,Orders,Adding Promo Code,Help Link,1,1,1,Natanael
222,Products,Registration Help,Help Link,0,0,0,Not Requested
223,Finances,Adding Promo Code,Community Hub,1,1,0,Not Requested
224,Orders,Registration Help,Community Hub,0,0,0,Not Requested
225,Apps,Accessing Data,Mentor,1,1,0,Not Requested
226,Orders,other,Mentor,1,0,0,Not Requested
227,Orders,Registration Help,Mentor,0,0,0,Not Requested
228,Marketing,Registration Help,Mentor,0,1,1,Natanael
229,Orders,Registration Help,Help Link,0,0,0,Not Requested
230,Finances,other,Mentor,1,1,0,Not Requested
231,Analytics,other,Mentor,1,1,1,Ben
232,Analytics,Accessing Data,Help Link,0,1,0,Not Requested
233,Orders,Registration Help,Mentor,0,0,0,Not Requested
234,Products,other,Mentor,1,1,0,Not Requested
235,Apps,Registration Help,Mentor,1,1,1,Chantal
236,Marketing,other,Mentor,1,0,0,Not Requested
237,Products,Registration Help,Help Link,1,0,0,Not Requested
238,Analytics,Registration Help,Help Link,1,1,0,Not Requested
239,Apps,Registration Help,Help Link,0,0,0,Not Requested
240,Analytics,Registration Help,Mentor,0,1,0,Not Requested
241,Finances,other,Help Link,1,1,0,Not Requested
242,Analytics,Registration Help,Mentor,1,1,0,Not Requested
243,Analytics,Accessing Data,Mentor,0,0,0,Not Requested
244,Apps,other,Mentor,0,1,1,Chantal
245,Finances,Accessing Data,Mentor,1,1,1,Ben
246,Orders,other,Help Link,1,1,1,Maya
247,Analytics,Registration Help,Help Link,0,0,0,Not Requested
248,Orders,App Functionality,Mentor,1,0,0,Not Requested
249,Home,other,Help Link,1,0,0,Not Requested
250,Apps,App Functionality,Mentor,0,1,0,Not Requested
251,Analytics,other,Mentor,1,1,1,Fahd
252,Analytics,Accessing Data,Help Link,0,0,0,Not Requested
253,Finances,other,Community Hub,1,1,1,Fahd
254,Orders,other,Mentor,1,0,0,Not Requested
255,Analytics,App Functionality,Help Link,0,1,0,Not Requested
256,Marketing,Accessing Data,Mentor,0,1,1,Natanael
257,Finances,other,Community Hub,1,1,1,Fahd
258,Home,Registration Help,Community Hub,1,0,0,Not Requested
259,Marketing,Accessing Data,Community Hub,0,1,0,Not Requested
260,Products,App Functionality,Mentor,1,1,0,Not Requested
261,Home,App Functionality,Help Link,0,1,0,Not Requested
262,Orders,Accessing Data,Mentor,1,1,1,Shaneel
263,Marketing,Registration Help,Community Hub,1,1,0,Not Requested
264,Marketing,Registration Help,Community Hub,1,0,0,Not Requested
265,Apps,App Functionality,Community Hub,1,0,0,Not Requested
266,Customers,other,Mentor,1,0,0,Not Requested
267,Home,other,Community Hub,0,1,0,Not Requested
268,Orders,Accessing Data,Mentor,1,1,1,Yik
269,Apps,Adding Promo Code,Community Hub,1,1,1,Natanael
270,Apps,Accessing Data,Mentor,1,0,0,Not Requested
271,Orders,Accessing Data,Community Hub,1,1,0,Not Requested
272,Orders,App Functionality,Community Hub,1,0,0,Not Requested
273,Orders,Accessing Data,Mentor,1,1,1,Chantal
274,Home,Registration Help,Help Link,1,1,1,Ben
275,Orders,Accessing Data,Community Hub,1,1,1,Chantal
276,Products,other,Community Hub,1,1,0,Not Requested
277,Orders,Registration Help,Help Link,1,0,0,Not Requested
278,Apps,Registration Help,Mentor,1,1,1,Ben
279,Finances,Registration Help,Mentor,0,1,1,Yik
280,Orders,Accessing Data,Mentor,1,0,0,Not Requested
281,Analytics,Accessing Data,Help Link,1,0,0,Not Requested
282,Analytics,Registration Help,Help Link,0,0,0,Not Requested
283,Analytics,App Functionality,Mentor,0,0,0,Not Requested
284,Apps,App Functionality,Mentor,1,1,1,Shaneel
285,Customers,other,Community Hub,1,1,1,Shaneel
286,Finances,other,Help Link,0,0,0,Not Requested
287,Orders,Registration Help,Community Hub,1,0,0,Not Requested
288,Marketing,Registration Help,Help Link,1,1,1,Maya
289,Marketing,Registration Help,Mentor,1,0,0,Not Requested
290,Apps,Registration Help,Help Link,1,1,1,Fahd
291,Products,App Functionality,Mentor,1,1,1,Chantal
292,Home,Accessing Data,Community Hub,1,1,1,Shaneel
293,Orders,Registration Help,Community Hub,1,1,0,Not Requested
294,Analytics,Accessing Data,Mentor,0,1,0,Not Requested
295,Marketing,Registration Help,Mentor,1,0,0,Not Requested
296,Home,Accessing Data,Community Hub,0,1,0,Not Requested
297,Marketing,Accessing Data,Community Hub,1,0,0,Not Requested
298,Marketing,Accessing Data,Help Link,1,0,0,Not Requested
299,Marketing,Registration Help,Help Link,1,0,0,Not Requested
300,Marketing,Registration Help,Community Hub,1,0,0,Not Requested
301,Apps,Adding Promo Code,Community Hub,1,1,1,Chantal
302,Customers,other,Mentor,1,0,0,Not Requested
303,Analytics,Registration Help,Community Hub,1,1,1,Natanael
304,Products,App Functionality,Community Hub,1,0,0,Not Requested
305,Orders,Registration Help,Mentor,0,0,0,Not Requested
306,Finances,Registration Help,Help Link,1,0,0,Not Requested
307,Orders,Registration Help,Community Hub,1,0,0,Not Requested
308,Orders,other,Mentor,1,0,0,Not Requested
309,Apps,Registration Help,Mentor,0,0,0,Not Requested
310,Orders,Registration Help,Mentor,0,1,0,Not Requested
311,Home,other,Community Hub,1,0,0,Not Requested
312,Orders,other,Community Hub,0,1,1,Ben
313,Apps,Adding Promo Code,Mentor,0,0,0,Not Requested
314,Customers,Accessing Data,Mentor,1,0,0,Not Requested
315,Home,Accessing Data,Help Link,0,1,1,Fahd
316,Orders,Accessing Data,Mentor,1,0,0,Not Requested
317,Apps,App Functionality,Community Hub,1,0,0,Not Requested
318,Marketing,Accessing Data,Mentor,1,0,0,Not Requested
319,Finances,Accessing Data,Community Hub,1,0,0,Not Requested
320,Orders,Registration Help,Mentor,1,1,0,Not Requested
321,Products,Registration Help,Help Link,1,0,0,Not Requested
322,Home,Accessing Data,Help Link,1,1,1,Natanael
323,Marketing,Registration Help,Help Link,1,1,1,Maya
324,Customers,App Functionality,Community Hub,1,1,0,Not Requested
325,Marketing,Accessing Data,Community Hub,1,1,0,Not Requested
326,Marketing,other,Community Hub,1,0,0,Not Requested
327,Orders,Accessing Data,Community Hub,1,0,0,Not Requested
328,Apps,other,Mentor,0,1,1,Natanael
329,Orders,App Functionality,Help Link,0,1,0,Not Requested
330,Marketing,Registration Help,Help Link,0,1,1,Maya
331,Apps,other,Help Link,1,0,0,Not Requested
332,Products,Registration Help,Help Link,0,0,0,Not Requested
333,Home,other,Community Hub,1,0,0,Not Requested
334,Orders,Registration Help,Help Link,1,1,0,Not Requested
335,Apps,App Functionality,Community Hub,0,1,1,Yik
336,Customers,Registration Help,Help Link,1,1,1,Ben
337,Home,Registration Help,Mentor,1,0,0,Not Requested
338,Apps,other,Community Hub,0,1,1,Chantal
339,Orders,Accessing Data,Mentor,1,0,0,Not Requested
340,Discounts,Adding Promo Code,Mentor,1,1,0,Not Requested
341,Orders,Registration Help,Mentor,1,0,0,Not Requested
342,Apps,Accessing Data,Community Hub,0,1,1,Shaneel
343,Apps,Accessing Data,Help Link,0,1,0,Not Requested
344,Products,Registration Help,Mentor,1,0,0,Not Requested
345,Analytics,Accessing Data,Mentor,1,0,0,Not Requested
346,Marketing,other,Mentor,1,1,0,Not Requested
347,Marketing,Adding Promo Code,Mentor,1,0,0,Not Requested
348,Apps,other,Help Link,1,1,0,Not Requested
349,Apps,Accessing Data,Mentor,1,1,1,Chantal
350,Finances,Adding Promo Code,Help Link,1,1,0,Not Requested
351,Customers,Registration Help,Mentor,1,1,1,Natanael
352,Apps,App Functionality,Help Link,1,1,0,Not Requested
353,Orders,Accessing Data,Help Link,1,1,1,Maya
354,Marketing,Registration Help,Mentor,1,0,0,Not Requested
355,Marketing,Registration Help,Mentor,0,0,0,Not Requested
356,Finances,Registration Help,Help Link,1,1,1,Shaneel
357,Apps,Registration Help,Help Link,1,0,0,Not Requested
358,Apps,App Functionality,Mentor,1,1,1,Fahd
359,Marketing,Registration Help,Mentor,1,0,0,Not Requested
360,Orders,other,Community Hub,1,0,0,Not Requested
361,Analytics,App Functionality,Community Hub,1,1,1,Fahd
362,Marketing,Accessing Data,Community Hub,0,1,0,Not Requested
363,Home,Accessing Data,Community Hub,0,1,1,Maya
364,Orders,Adding Promo Code,Mentor,0,1,0,Not Requested
365,Customers,Registration Help,Community Hub,1,1,0,Not Requested
366,Products,Accessing Data,Mentor,0,0,0,Not Requested
367,Analytics,Accessing Data,Help Link,1,0,0,Not Requested
368,Marketing,Accessing Data,Community Hub,1,1,0,Not Requested
369,Marketing,other,Help Link,1,0,0,Not Requested
370,Orders,Registration Help,Help Link,0,1,1,Maya
371,Home,Accessing Data,Community Hub,1,0,0,Not Requested
372,Marketing,Accessing Data,Community Hub,1,1,1,Chantal
373,Orders,Accessing Data,Help Link,1,0,0,Not Requested
374,Orders,other,Community Hub,0,1,0,Not Requested
375,Home,Registration Help,Community Hub,1,0,0,Not Requested
376,Finances,App Functionality,Mentor,0,1,1,Chantal
377,Finances,App Functionality,Mentor,1,1,0,Not Requested
378,Home,Accessing Data,Help Link,1,0,0,Not Requested
379,Analytics,Registration Help,Help Link,0,1,0,Not Requested
380,Customers,Accessing Data,Help Link,1,1,0,Not Requested
381,Apps,other,Community Hub,0,0,0,Not Requested
382,Home,Accessing Data,Help Link,1,0,0,Not Requested
383,Apps,App Functionality,Community Hub,0,1,0,Not Requested
384,Customers,Adding Promo Code,Community Hub,0,0,0,Not Requested
385,Customers,other,Mentor,1,1,1,Maya
386,Orders,App Functionality,Help Link,1,0,0,Not Requested
387,Orders,Adding Promo Code,Mentor,1,1,1,Natanael
388,Apps,Accessing Data,Community Hub,0,1,0,Not Requested
389,Orders,Registration Help,Community Hub,1,1,1,Natanael
390,Apps,Registration Help,Mentor,1,0,0,Not Requested
391,Home,Accessing Data,Mentor,1,0,0,Not Requested
392,Analytics,Registration Help,Mentor,0,1,0,Not Requested
393,Analytics,Adding Promo Code,Help Link,1,1,0,Not Requested
394,Apps,App Functionality,Mentor,0,1,0,Not Requested
395,Apps,Registration Help,Community Hub,0,0,0,Not Requested
396,Apps,Registration Help,Help Link,1,1,1,Chantal
397,Orders,other,Mentor,0,1,0,Not Requested
398,Home,other,Community Hub,1,1,1,Ben
399,Marketing,Adding Promo Code,Help Link,1,0,0,Not Requested
400,Analytics,Registration Help,Mentor,1,0,0,Not Requested
401,Home,other,Mentor,1,0,0,Not Requested
402,Products,other,Community Hub,1,1,1,Ben
403,Marketing,Accessing Data,Mentor,0,0,0,Not Requested
404,Marketing,Registration Help,Community Hub,0,0,0,Not Requested
405,Finances,Accessing Data,Help Link,1,0,0,Not Requested
406,Finances,Registration Help,Mentor,1,0,0,Not Requested
407,Orders,other,Community Hub,0,0,0,Not Requested
408,Marketing,other,Community Hub,1,1,1,Fahd
409,Home,Registration Help,Help Link,1,1,0,Not Requested
410,Apps,other,Help Link,1,0,0,Not Requested
411,Marketing,Registration Help,Help Link,1,1,1,Maya
412,Analytics,Accessing Data,Mentor,1,0,0,Not Requested
413,Orders,other,Help Link,1,0,0,Not Requested
414,Apps,Adding Promo Code,Mentor,0,1,1,Shaneel
415,Apps,App Functionality,Help Link,1,1,0,Not Requested
416,Apps,Adding Promo Code,Mentor,0,0,0,Not Requested
417,Analytics,Adding Promo Code,Community Hub,1,0,0,Not Requested
418,Products,other,Mentor,1,1,1,Shaneel
419,Orders,Accessing Data,Help Link,0,1,0,Not Requested
420,Orders,Registration Help,Mentor,1,1,0,Not Requested
421,Marketing,Registration Help,Help Link,1,0,0,Not Requested
422,Home,Accessing Data,Community Hub,1,1,0,Not Requested
423,Home,Accessing Data,Community Hub,1,1,1,Maya
424,Apps,Adding Promo Code,Community Hub,1,1,1,Chantal
425,Apps,other,Mentor,1,1,1,Ben
426,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
427,Finances,Adding Promo Code,Community Hub,1,1,1,Natanael
428,Finances,Accessing Data,Help Link,1,0,0,Not Requested
429,Finances,other,Help Link,0,1,1,Natanael
430,Marketing,Registration Help,Help Link,1,1,1,Natanael
431,Apps,other,Help Link,1,1,0,Not Requested
432,Orders,Registration Help,Community Hub,0,1,0,Not Requested
433,Orders,Accessing Data,Help Link,1,1,0,Not Requested
434,Finances,Registration Help,Mentor,1,1,0,Not Requested
435,Apps,Registration Help,Mentor,1,1,1,Natanael
436,Customers,Registration Help,Help Link,0,1,1,Yik
437,Marketing,other,Mentor,1,1,1,Natanael
438,Marketing,Registration Help,Help Link,0,1,1,Natanael
439,Analytics,other,Community Hub,1,1,0,Not Requested
440,Apps,Accessing Data,Help Link,1,1,0,Not Requested
441,Apps,Registration Help,Community Hub,1,0,0,Not Requested
442,Marketing,other,Mentor,1,1,0,Not Requested
443,Marketing,other,Community Hub,1,1,1,Ben
444,Orders,App Functionality,Community Hub,1,1,0,Not Requested
445,Marketing,App Functionality,Community Hub,1,0,0,Not Requested
446,Analytics,Registration Help,Mentor,1,0,0,Not Requested
447,Apps,Registration Help,Mentor,0,0,0,Not Requested
448,Analytics,Accessing Data,Mentor,0,0,0,Not Requested
449,Apps,other,Mentor,1,0,0,Not Requested
450,Finances,other,Community Hub,0,0,0,Not Requested
451,Analytics,Registration Help,Mentor,0,1,0,Not Requested
452,Apps,Adding Promo Code,Help Link,0,1,0,Not Requested
453,Products,Accessing Data,Help Link,1,1,1,Chantal
454,Finances,Accessing Data,Help Link,1,1,0,Not Requested
455,Finances,Registration Help,Mentor,1,0,0,Not Requested
456,Analytics,other,Mentor,1,1,0,Not Requested
457,Home,Adding Promo Code,Community Hub,1,0,0,Not Requested
458,Apps,Accessing Data,Community Hub,0,1,0,Not Requested
459,Home,other,Community Hub,1,1,0,Not Requested
460,Apps,other,Help Link,1,1,1,Ben
461,Analytics,App Functionality,Mentor,0,0,0,Not Requested
462,Marketing,App Functionality,Community Hub,0,1,0,Not Requested
463,Analytics,Adding Promo Code,Community Hub,1,0,0,Not Requested
464,Orders,Registration Help,Help Link,1,1,0,Not Requested
465,Apps,Registration Help,Help Link,1,0,0,Not Requested
466,Marketing,App Functionality,Mentor,0,1,1,Fahd
467,Home,Registration Help,Mentor,0,1,1,Fahd
468,Home,App Functionality,Help Link,1,0,0,Not Requested
469,Marketing,other,Community Hub,0,0,0,Not Requested
470,Apps,Accessing Data,Mentor,0,1,0,Not Requested
471,Orders,Registration Help,Mentor,1,1,0,Not Requested
472,Orders,other,Mentor,0,1,1,Chantal
473,Apps,other,Mentor,1,1,0,Not Requested
474,Home,Registration Help,Help Link,1,1,0,Not Requested
475,Analytics,other,Mentor,1,1,1,Shaneel
476,Orders,Accessing Data,Mentor,1,0,0,Not Requested
477,Finances,App Functionality,Help Link,1,0,0,Not Requested
478,Customers,Accessing Data,Mentor,1,1,0,Not Requested
479,Apps,other,Help Link,0,1,0,Not Requested
480,Orders,Registration Help,Mentor,1,1,1,Chantal
481,Orders,other,Help Link,1,0,0,Not Requested
482,Home,Accessing Data,Help Link,1,1,1,Maya
483,Analytics,Accessing Data,Community Hub,1,0,0,Not Requested
